smiles,IC50(nM)
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCc2ccc(s2)S(N)(=O)=O)c(OC)n1 |r|,1.1
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCc2ncccc2O)c(OC)n1 |r|,0.565
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H]2COCC[C@H]2O)c(OC)n1 |r|,0.192
COCCNCc1ncc(nc1OC)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.118
"COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H]2C[C@H](CO)C2)c(OC)n1 |r,wU:11.11,37.40,39.43,(-8.29,1,;-8.29,-.54,;-6.96,-1.31,;-5.63,-.54,;-4.29,-1.31,;-4.29,-2.85,;-5.63,-3.62,;-6.96,-2.85,;-8.29,-3.62,;-9.63,-2.85,;-10.96,-3.62,;-12.3,-2.85,;-12.46,-1.32,;-13.96,-1,;-14.73,-2.34,;-16.26,-2.5,;-13.7,-3.48,;-2.96,-.54,;-2.96,1,;-1.63,1.77,;-.29,1,;-.29,-.54,;-1.63,-1.31,;-1.63,-2.85,;1.04,-1.31,;1.04,-2.85,;2.38,-3.62,;3.71,-2.85,;3.71,-1.31,;2.38,-.54,;2.38,1,;5.04,-.54,;5.04,1,;6.38,1.77,;7.71,1,;9.04,1.77,;10.38,1,;11.71,1.77,;13.2,1.37,;13.6,2.85,;14.93,3.62,;16.26,2.85,;12.11,3.25,;7.71,-.54,;9.04,-1.31,;9.04,-2.85,;6.38,-1.31,)|",0.094
"COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@H]2C[C@H](O)C2)c(OC)n1 |r,wU:11.11,37.40,wD:39.43,(-7.63,1,;-7.63,-.54,;-6.29,-1.31,;-4.96,-.54,;-3.63,-1.31,;-3.63,-2.85,;-4.96,-3.62,;-6.29,-2.85,;-7.63,-3.62,;-8.96,-2.85,;-10.29,-3.62,;-11.63,-2.85,;-11.79,-1.32,;-13.3,-1,;-14.07,-2.34,;-15.6,-2.5,;-13.04,-3.48,;-2.29,-.54,;-2.29,1,;-.96,1.77,;.37,1,;.37,-.54,;-.96,-1.31,;-.96,-2.85,;1.71,-1.31,;1.71,-2.85,;3.04,-3.62,;4.38,-2.85,;4.38,-1.31,;3.04,-.54,;3.04,1,;5.71,-.54,;5.71,1,;7.04,1.77,;8.38,1,;9.71,1.77,;11.04,1,;12.38,1.77,;12.78,3.25,;14.26,2.85,;15.6,3.62,;13.87,1.37,;8.38,-.54,;9.71,-1.31,;9.71,-2.85,;7.04,-1.31,)|",0.107
"COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H]2C[C@H](O)C2)c(OC)n1 |r,wU:11.11,37.40,39.43,(-7.63,1,;-7.63,-.54,;-6.29,-1.31,;-4.96,-.54,;-3.63,-1.31,;-3.63,-2.85,;-4.96,-3.62,;-6.29,-2.85,;-7.63,-3.62,;-8.96,-2.85,;-10.29,-3.62,;-11.63,-2.85,;-11.79,-1.32,;-13.3,-1,;-14.07,-2.34,;-15.6,-2.5,;-13.04,-3.48,;-2.29,-.54,;-2.29,1,;-.96,1.77,;.37,1,;.37,-.54,;-.96,-1.31,;-.96,-2.85,;1.71,-1.31,;1.71,-2.85,;3.04,-3.62,;4.38,-2.85,;4.38,-1.31,;3.04,-.54,;3.04,1,;5.71,-.54,;5.71,1,;7.04,1.77,;8.38,1,;9.71,1.77,;11.04,1,;12.38,1.77,;13.87,1.37,;14.26,2.85,;15.6,3.62,;12.78,3.25,;8.38,-.54,;9.71,-1.31,;9.71,-2.85,;7.04,-1.31,)|",0.126
COc1nc(cnc1CNC[C@H](C)O)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.114
COc1nc(cnc1CNC[C@@H](C)O)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.313
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H](C)CO)c(OC)n1 |r|,0.323
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@H](C)CO)c(OC)n1 |r|,0.245
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC(C2)N2CC(O)C2)c(OC)n1 |r|,0.138
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC(C2)c2ccccn2)c(OC)n1 |r|,0.389
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC(C2)c2ccccc2)c(OC)n1 |r|,0.737
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC(C2)N2CCOCC2)c(OC)n1 |r|,0.283
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(Cn2c(C)ccc2C)c(OC)n1 |r|,4.63
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H]2CC[C@H](O)C2)c(OC)n1 |r|,0.064
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H]2CC[C@@H](O)C2)c(OC)n1 |r|,0.133
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@H]2CC[C@H](O)C2)c(OC)n1 |r|,0.129
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@H]2CC[C@@H](O)C2)c(OC)n1 |r|,0.102
"COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@H]2C[C@@H](C2)S(C)(=O)=O)c(OC)n1 |r,wU:11.11,39.45,wD:37.40,(-8.29,.33,;-8.29,-1.21,;-6.96,-1.98,;-5.63,-1.21,;-4.29,-1.98,;-4.29,-3.52,;-5.63,-4.29,;-6.96,-3.52,;-8.29,-4.29,;-9.63,-3.52,;-10.96,-4.29,;-12.3,-3.52,;-12.46,-1.99,;-13.96,-1.67,;-14.73,-3,;-16.26,-3.16,;-13.7,-4.15,;-2.96,-1.21,;-2.96,.33,;-1.63,1.1,;-.29,.33,;-.29,-1.21,;-1.63,-1.98,;-1.63,-3.52,;1.04,-1.98,;1.04,-3.52,;2.38,-4.29,;3.71,-3.52,;3.71,-1.98,;2.38,-1.21,;2.38,.33,;5.04,-1.21,;5.04,.33,;6.38,1.1,;7.71,.33,;9.04,1.1,;10.38,.33,;11.71,1.1,;13.2,.7,;13.6,2.19,;12.11,2.59,;14.93,2.96,;16.26,2.19,;15.7,4.29,;14.16,4.29,;7.71,-1.21,;9.04,-1.98,;9.04,-3.52,;6.38,-1.98,)|",0.096
"COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@H]2C[C@H](C2)S(C)(=O)=O)c(OC)n1 |r,wU:11.11,37.40,39.45,(-8.29,.33,;-8.29,-1.21,;-6.96,-1.98,;-5.63,-1.21,;-4.29,-1.98,;-4.29,-3.52,;-5.63,-4.29,;-6.96,-3.52,;-8.29,-4.29,;-9.63,-3.52,;-10.96,-4.29,;-12.3,-3.52,;-12.46,-1.99,;-13.96,-1.67,;-14.73,-3,;-16.26,-3.16,;-13.7,-4.15,;-2.96,-1.21,;-2.96,.33,;-1.63,1.1,;-.29,.33,;-.29,-1.21,;-1.63,-1.98,;-1.63,-3.52,;1.04,-1.98,;1.04,-3.52,;2.38,-4.29,;3.71,-3.52,;3.71,-1.98,;2.38,-1.21,;2.38,.33,;5.04,-1.21,;5.04,.33,;6.38,1.1,;7.71,.33,;9.04,1.1,;10.38,.33,;11.71,1.1,;12.11,2.59,;13.6,2.19,;13.2,.7,;14.93,2.96,;16.26,2.19,;15.7,4.29,;14.16,4.29,;7.71,-1.21,;9.04,-1.98,;9.04,-3.52,;6.38,-1.98,)|",0.141
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@H]2CCOC2)c(OC)n1 |r|,0.132
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H]2CCOC2)c(OC)n1 |r|,0.401
"COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@H]2C[C@@H](C2)NC(C)=O)c(OC)n1 |r,wU:11.11,39.45,wD:37.40,(-8.96,1,;-8.96,-.54,;-7.63,-1.31,;-6.29,-.54,;-4.96,-1.31,;-4.96,-2.85,;-6.29,-3.62,;-7.63,-2.85,;-8.96,-3.62,;-10.29,-2.85,;-11.63,-3.62,;-12.96,-2.85,;-13.12,-1.32,;-14.63,-1,;-15.4,-2.34,;-16.93,-2.5,;-14.37,-3.48,;-3.63,-.54,;-3.63,1,;-2.29,1.77,;-.96,1,;-.96,-.54,;-2.29,-1.31,;-2.29,-2.85,;.37,-1.31,;.37,-2.85,;1.71,-3.62,;3.04,-2.85,;3.04,-1.31,;1.71,-.54,;1.71,1,;4.38,-.54,;4.38,1,;5.71,1.77,;7.04,1,;8.38,1.77,;9.71,1,;11.04,1.77,;12.53,1.37,;12.93,2.85,;11.44,3.25,;14.26,3.62,;15.6,2.85,;16.93,3.62,;15.6,1.31,;7.04,-.54,;8.38,-1.31,;8.38,-2.85,;5.71,-1.31,)|",0.13
"COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@H]2C[C@H](C2)NC(C)=O)c(OC)n1 |r,wU:11.11,37.40,39.45,(-8.96,1,;-8.96,-.54,;-7.63,-1.31,;-6.29,-.54,;-4.96,-1.31,;-4.96,-2.85,;-6.29,-3.62,;-7.63,-2.85,;-8.96,-3.62,;-10.29,-2.85,;-11.63,-3.62,;-12.96,-2.85,;-13.12,-1.32,;-14.63,-1,;-15.4,-2.34,;-16.93,-2.5,;-14.37,-3.48,;-3.63,-.54,;-3.63,1,;-2.29,1.77,;-.96,1,;-.96,-.54,;-2.29,-1.31,;-2.29,-2.85,;.37,-1.31,;.37,-2.85,;1.71,-3.62,;3.04,-2.85,;3.04,-1.31,;1.71,-.54,;1.71,1,;4.38,-.54,;4.38,1,;5.71,1.77,;7.04,1,;8.38,1.77,;9.71,1,;11.04,1.77,;11.44,3.25,;12.93,2.85,;12.53,1.37,;14.26,3.62,;15.6,2.85,;16.93,3.62,;15.6,1.31,;7.04,-.54,;8.38,-1.31,;8.38,-2.85,;5.71,-1.31,)|",0.074
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC2CC3(C2)CS(=O)(=O)C3)c(OC)n1 |r|,0.424
"CO[C@H]1C[C@@H](C1)NCc1ncc(nc1OC)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r,wU:37.40,2.1,wD:4.6,(16.26,2.85,;14.93,3.62,;13.6,2.85,;13.2,1.37,;11.71,1.77,;12.11,3.25,;10.38,1,;9.04,1.77,;7.71,1,;6.38,1.77,;5.04,1,;5.04,-.54,;6.38,-1.31,;7.71,-.54,;9.04,-1.31,;9.04,-2.85,;3.71,-1.31,;3.71,-2.85,;2.38,-3.62,;1.04,-2.85,;1.04,-1.31,;2.38,-.54,;2.38,1,;-.29,-.54,;-.29,1,;-1.63,1.77,;-2.96,1,;-2.96,-.54,;-1.63,-1.31,;-1.63,-2.85,;-4.29,-1.31,;-4.29,-2.85,;-5.63,-3.62,;-6.96,-2.85,;-8.29,-3.62,;-9.63,-2.85,;-10.96,-3.62,;-12.3,-2.85,;-12.46,-1.32,;-13.96,-1,;-14.73,-2.34,;-16.26,-2.5,;-13.7,-3.48,;-6.96,-1.31,;-8.29,-.54,;-8.29,1,;-5.63,-.54,)|",0.244
"CO[C@@H]1C[C@@H](C1)NCc1ncc(nc1OC)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r,wU:37.40,4.6,2.1,(16.26,2.85,;14.93,3.62,;13.6,2.85,;12.11,3.25,;11.71,1.77,;13.2,1.37,;10.38,1,;9.04,1.77,;7.71,1,;6.38,1.77,;5.04,1,;5.04,-.54,;6.38,-1.31,;7.71,-.54,;9.04,-1.31,;9.04,-2.85,;3.71,-1.31,;3.71,-2.85,;2.38,-3.62,;1.04,-2.85,;1.04,-1.31,;2.38,-.54,;2.38,1,;-.29,-.54,;-.29,1,;-1.63,1.77,;-2.96,1,;-2.96,-.54,;-1.63,-1.31,;-1.63,-2.85,;-4.29,-1.31,;-4.29,-2.85,;-5.63,-3.62,;-6.96,-2.85,;-8.29,-3.62,;-9.63,-2.85,;-10.96,-3.62,;-12.3,-2.85,;-12.46,-1.32,;-13.96,-1,;-14.73,-2.34,;-16.26,-2.5,;-13.7,-3.48,;-6.96,-1.31,;-8.29,-.54,;-8.29,1,;-5.63,-.54,)|",0.07
"COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@H]2C[C@@H](C2)C(C)(C)O)c(OC)n1 |r,wU:11.11,37.40,wD:39.45,(-8.29,.23,;-8.29,-1.31,;-6.96,-2.08,;-5.63,-1.31,;-4.29,-2.08,;-4.29,-3.62,;-5.63,-4.39,;-6.96,-3.62,;-8.29,-4.39,;-9.63,-3.62,;-10.96,-4.39,;-12.3,-3.62,;-12.46,-2.09,;-13.96,-1.77,;-14.73,-3.11,;-16.26,-3.27,;-13.7,-4.25,;-2.96,-1.31,;-2.96,.23,;-1.63,1,;-.29,.23,;-.29,-1.31,;-1.63,-2.08,;-1.63,-3.62,;1.04,-2.08,;1.04,-3.62,;2.38,-4.39,;3.71,-3.62,;3.71,-2.08,;2.38,-1.31,;2.38,.23,;5.04,-1.31,;5.04,.23,;6.38,1,;7.71,.23,;9.04,1,;10.38,.23,;11.71,1,;12.11,2.48,;13.6,2.08,;13.2,.6,;14.93,2.85,;16.26,2.08,;14.93,4.39,;16.26,3.62,;7.71,-1.31,;9.04,-2.08,;9.04,-3.62,;6.38,-2.08,)|",0.115
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC3(C2)CS(=O)(=O)C3)c(OC)n1 |r|,0.064
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC3(C2)CNC(=O)C3)c(OC)n1 |r|,0.064
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC(C2)NC(C)=O)c(OC)n1 |r|,0.078
COc1nc(cnc1CNCCn1ccccc1=O)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.064
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC3(C2)CCC(=O)N3)c(OC)n1 |r|,0.213
COc1nc(cnc1CNCCN1CCCC1=O)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.104
COc1nc(cnc1CNCCNC(C)=O)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.13
COc1nc(cnc1CNCCO)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.183
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC(C)(C)CNC(C)=O)c(OC)n1 |r|,0.459
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCC(C)(C)NC(C)=O)c(OC)n1 |r|,0.208
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC(C)(C)CO)c(OC)n1 |r|,0.098
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCC(C)(C)O)c(OC)n1 |r|,0.396
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC(O)C2)c(OC)n1 |r|,0.155
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC[C@@H](O)C2)c(OC)n1 |r|,0.203
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H]2CCC[C@@H]2O)c(OC)n1 |r|,0.085
COc1nc(cnc1CNCC(C)(C)O)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCC(C)(C)O)c(OC)n1,0.289
COc1nc(cnc1CN[C@@H]1CCC[C@@H]1O)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H]2CCC[C@@H]2O)c(OC)n1 |r|,0.887
COc1nc(cnc1CNC(C)(C)CO)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC(C)(C)CO)c(OC)n1,0.154
COc1nc(cnc1[C@H](C)N)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc([C@H](C)N)c(OC)n1 |r|,0.292
COc1nc(cnc1[C@@H](C)N)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc([C@@H](C)N)c(OC)n1 |r|,0.879
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H]2CC[C@@H]3CC(=O)N[C@H]23)c(OC)n1 |r|,0.625
COc1nc(cnc1CN[C@@H]1CC[C@@H]2CC(=O)N[C@H]12)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN[C@@H]2CC[C@@H]3CC(=O)N[C@H]23)c(OC)n1 |r|,1.22
COc1nc(cnc1CN1CC2(C1)CNC(=O)C2)-c1cccc(c1Cl)-c1cccc(c1Br)-c1cnc(CN2CC3(C2)CNC(=O)C3)c(OC)n1,0.211
COc1nc(cnc1CN1CC2(C1)CCC(=O)N2)-c1cccc(c1Cl)-c1cccc(c1Br)-c1cnc(CN2CC3(C2)CCC(=O)N3)c(OC)n1,0.146
COc1nc(cnc1CN1CC(O)C1)-c1cccc(c1Cl)-c1cccc(c1Br)-c1cnc(CN2CC(O)C2)c(OC)n1,0.232
COc1nc(cnc1CNC[C@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Br)-c1cnc(CNC[C@H]2CCC(=O)N2)c(OC)n1 |r|,0.246
COc1nc(cnc1CN1CC2(C1)CNC(=O)C2)-c1cccc(c1F)-c1cccc(c1Br)-c1cnc(CN2CC3(C2)CNC(=O)C3)c(OC)n1,2.23
COc1nc(cnc1CN1CC2(C1)CCC(=O)N2)-c1cccc(c1F)-c1cccc(c1Br)-c1cnc(CN2CC3(C2)CCC(=O)N3)c(OC)n1,1.78
COc1nc(cnc1CN1CC(O)C1)-c1cccc(c1F)-c1cccc(c1Br)-c1cnc(CN2CC(O)C2)c(OC)n1,9.23
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1F)-c1cccc(c1Br)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,2.02
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cc(F)cc(c1Cl)-c1cc(F)cc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.561
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cc(F)cc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.195
COc1nc(cnc1CN1CC(O)C1)-c1cccc(c1Cl)-c1cc(F)cc(c1Cl)-c1cnc(CN2CC(O)C2)c(OC)n1,0.324
COC1CN(Cc2ncc(nc2OC)-c2cccc(c2Cl)-c2cccc(c2Cl)-c2cnc(CN3CC(C3)OC)c(OC)n2)C1,0.173
COc1nc(cnc1CN(C)C)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN(C)C)c(OC)n1,0.295
CNCc1ncc(nc1OC)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC)c(OC)n1,0.175
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCC2CC(=O)NC2=O)c(OC)n1 |r|,0.07
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CCC(C2)c2cnccn2)c(OC)n1 |r|,0.07
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CCC(C2)c2cccnc2)c(OC)n1 |r|,0.16
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CCC(C2)c2ccccn2)c(OC)n1 |r|,0.28
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CCC(O)(CC#N)C2)c(OC)n1 |r|,0.186
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CCC(C2)c2ncccn2)c(OC)n1 |r|,0.139
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CCC(C2)C2CCCO2)c(OC)n1 |r|,0.124
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CCC(C2)c2ccncc2)c(OC)n1 |r|,0.316
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CCC(C2)C2CCOC2)c(OC)n1 |r|,0.321
COc1nc(cnc1CNCCc1cncc(O)c1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.187
COc1nc(cnc1CNCC(O)CN1CCCC1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.162
COc1ccnc2CN(Cc3ncc(nc3OC)-c3cccc(c3Cl)-c3cccc(c3Cl)-c3cnc(CNC[C@@H]4CCC(=O)N4)c(OC)n3)Cc12 |r|,0.559
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC2CCN(CC2)C(=O)c2ccoc2)c(OC)n1 |r|,0.195
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC2CCN(C)C(=O)C2)c(OC)n1 |r|,0.14
COc1nc(cnc1CNCCc1ccccn1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.196
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCc2ccccn2)c(OC)n1 |r|,0.219
COc1nc(cnc1CNCCCc1nc2ccccc2[nH]1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC[C@@H]2CCC(=O)N2)c(OC)n1 |r|,0.542
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCc2ncccn2)c(OC)n1 |r|,0.449
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC2(CC2)c2ccccn2)c(OC)n1 |r|,0.603
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCc2ccncc2)c(OC)n1 |r|,0.554
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2C[C@H](O)C[C@H]2CO)c(OC)n1 |r|,0.237
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC2(CC2)c2cccnc2)c(OC)n1 |r|,0.617
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCc2cccnc2)c(OC)n1 |r|,0.414
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCC2(O)CC2)c(OC)n1 |r|,0.273
CO[C@@H]1CCN(Cc2ncc(nc2OC)-c2cccc(c2Cl)-c2cccc(c2Cl)-c2cnc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)C1 |r|,0.136
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNC(CO)(CO)CO)c(OC)n1 |r|,0.272
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CNCC2(CC2)C#N)c(OC)n1 |r|,0.349
CO[C@H]1CCN(Cc2ncc(nc2OC)-c2cccc(c2Cl)-c2cccc(c2Cl)-c2cnc(CNC[C@@H]3CCC(=O)N3)c(OC)n2)C1 |r|,0.071
COc1nc(cnc1CNC[C@@H]1CCC(=O)N1)-c1cccc(c1Cl)-c1cccc(c1Cl)-c1cnc(CN2CC[C@H](O)C2)c(OC)n1 |r|,0.124
